rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_parm_prov,koi_count,koi_tce_delivname,koi_datalink_dvr,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag
1,11446443,K00001.01,Kepler-1 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,2.470613377,2.7e-08,-2.7e-08,122.763305,8.7e-06,-8.7e-06,2454955.763,8.7e-06,-8.7e-06,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,011/011446/011446443/dv/kplr011446443-20160209194854_dvr.pdf,286.80847,49.316399,11.338,11.736,11.275,11.168,11.126,10.232,9.92,9.846
2,10666592,K00002.01,Kepler-2 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,1,0,0,q1_q17_dr25_sup_koi,2.204735417,4.3e-08,-4.3e-08,121.3585417,1.6e-05,-1.6e-05,2454954.359,1.6e-05,-1.6e-05,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,010/010666/010666592/dv/kplr010666592-20160209194854_dvr.pdf,292.24728,47.969521,10.463,10.935,10.49,,,9.555,9.344,9.334
3,10748390,K00003.01,Kepler-3 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,4.887803076,4.66e-07,-4.66e-07,124.8130808,7.51e-05,-7.51e-05,2454957.813,7.51e-05,-7.51e-05,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,010/010748/010748390/dv/kplr010748390-20160209194854_dvr.pdf,297.70935,48.080853,9.174,10.665,9.479,,,7.608,7.131,7.009
4,3861595,K00004.01,Kepler-1658 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,3.849371737,2.344e-06,-2.344e-06,157.526686,0.000488,-0.000488,2454990.527,0.000488,-0.000488,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,003/003861/003861595/dv/kplr003861595-20160209194854_dvr.pdf,294.35654,38.94738,11.432,11.755,11.354,11.294,11.305,10.475,10.266,10.195
5,8554498,K00005.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,4.780327581,8.52e-07,-8.52e-07,132.974086,0.000148,-0.000148,2454965.974,0.000148,-0.000148,q1_q17_dr25_sup_koi,2,q1_q17_dr25_tce,008/008554/008554498/dv/kplr008554498-20160209194854_dvr.pdf,289.73972,44.647419,11.665,12.085,11.601,11.485,11.458,10.542,10.257,10.213
6,8554498,K00005.02,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,1,0,0,0,q1_q17_dr25_sup_koi,7.05185637,,,133.3669015,,,2454966.367,,,q1_q17_dr25_sup_koi,2,q1_q17_dr25_tce,008/008554/008554498/dv/kplr008554498-20160209194854_dvr.pdf,289.73972,44.647419,11.665,12.085,11.601,11.485,11.458,10.542,10.257,10.213
7,3248033,K00006.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,0,1,1,q1_q17_dr25_sup_koi,1.334101467,1.655e-06,-1.655e-06,133.703081,0.000983,-0.000983,2454966.703,0.000983,-0.000983,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,003/003248/003248033/dv/kplr003248033-20160209194854_dvr.pdf,294.59955,38.366772,12.161,12.427,12.098,12.047,12.024,11.259,11.02,10.995
8,11853905,K00007.01,Kepler-4 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,3.213668926,1.09e-06,-1.09e-06,123.611878,0.000274,-0.000274,2454956.612,0.000274,-0.000274,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,011/011853/011853905/dv/kplr011853905-20160209194854_dvr.pdf,285.61533,50.13575,12.211,12.614,12.135,12.038,11.963,11.122,10.836,10.805
9,5903312,K00008.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,0,1,1,q1_q17_dr25_sup_koi,1.16015259,8.68e-07,-8.68e-07,121.704645,0.000673,-0.000673,2454954.705,0.000673,-0.000673,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005903/005903312/dv/kplr005903312-20160209194854_dvr.pdf,298.66101,41.13789,12.45,12.862,12.385,12.273,12.214,11.371,11.092,11.04
10,11553706,K00009.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,1,0,q1_q17_dr25_sup_koi,3.719809197,9.39e-07,-9.39e-07,135.068298,0.000206,-0.000206,2454968.068,0.000206,-0.000206,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,011/011553/011553706/dv/kplr011553706-20160209194854_dvr.pdf,288.80377,49.530788,13.123,13.463,13.076,12.978,12.97,12.158,11.852,11.821
11,6922244,K00010.01,Kepler-8 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,3.522498429,1.98e-07,-1.98e-07,121.1194228,4.71e-05,-4.71e-05,2454954.119,4.71e-05,-4.71e-05,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,006/006922/006922244/dv/kplr006922244-20160209194854_dvr.pdf,281.28812,42.45108,13.563,13.886,13.511,13.424,13.413,12.576,12.324,12.293
12,11913073,K00011.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,1,1,q1_q17_dr25_sup_koi,3.747838198,3.896e-06,-3.896e-06,171.66504,0.000902,-0.000902,2455004.665,0.000902,-0.000902,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,011/011913/011913073/dv/kplr011913073-20160209194854_dvr.pdf,291.06152,50.265129,13.496,14.038,13.426,13.264,13.205,12.236,11.891,11.785
13,5812701,K00012.01,Kepler-448 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,17.855221681,3.676e-06,-3.676e-06,146.596466,0.000163,-0.000163,2454979.596,0.000163,-0.000163,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005812/005812701/dv/kplr005812701-20160209194854_dvr.pdf,297.45374,41.01099,11.353,11.571,11.28,11.245,11.26,10.461,10.287,10.234
14,9941662,K00013.01,Kepler-13 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,1,0,0,q1_q17_dr25_sup_koi,1.763587535,4.2e-08,-4.2e-08,120.5659254,1.99e-05,-1.99e-05,2454953.566,1.99e-05,-1.99e-05,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,009/009941/009941662/dv/kplr009941662-20160209194854_dvr.pdf,286.97119,46.868359,9.958,9.697,10.045,10.548,10.02,9.466,9.455,9.425
15,7684873,K00014.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,2.947376671,3.228e-06,-3.228e-06,171.522978,0.000883,-0.000883,2455004.523,0.000883,-0.000883,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,007/007684/007684873/dv/kplr007684873-20160209194854_dvr.pdf,292.61194,43.305141,10.47,10.475,10.469,10.572,10.661,9.942,9.872,9.837
16,3964562,K00015.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,1,1,q1_q17_dr25_sup_koi,3.012476582,1.161e-06,-1.161e-06,135.259271,0.000298,-0.000298,2454968.259,0.000298,-0.000298,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,003/003964/003964562/dv/kplr003964562-20160209194854_dvr.pdf,294.1434,39.089779,12.403,12.419,12.398,12.501,12.572,11.955,11.903,11.873
17,9110357,K00016.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,1,1,q1_q17_dr25_sup_koi,0.895277575,5.07e-07,-5.07e-07,133.411986,0.000504,-0.000504,2454966.412,0.000504,-0.000504,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,009/009110/009110357/dv/kplr009110357-20160209194854_dvr.pdf,298.34421,45.40992,13.574,13.688,13.536,13.548,13.513,12.761,12.73,12.635
18,10874614,K00017.01,Kepler-6 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,3.234699282,1.19e-07,-1.19e-07,121.4865708,2.92e-05,-2.92e-05,2454954.487,2.92e-05,-2.92e-05,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,010/010874/010874614/dv/kplr010874614-20160209194854_dvr.pdf,296.83725,48.239944,13.303,13.789,13.253,13.094,,12.001,11.706,11.634
19,8191672,K00018.01,Kepler-5 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,1,0,0,q1_q17_dr25_sup_koi,3.548465446,1.83e-07,-1.83e-07,122.9014315,4.26e-05,-4.26e-05,2454955.901,4.26e-05,-4.26e-05,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,008/008191/008191672/dv/kplr008191672-20160209194854_dvr.pdf,299.40701,44.035053,13.369,13.883,13.321,13.148,,12.115,11.863,11.769
20,7255336,K00019.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,1.20320092,2.96e-07,-2.96e-07,133.929836,0.000204,-0.000204,2454966.93,0.000204,-0.000204,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,007/007255/007255336/dv/kplr007255336-20160209194854_dvr.pdf,280.94385,42.839184,11.374,11.87,11.25,10.99,,10.578,10.326,10.264
21,11804465,K00020.01,Kepler-12 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,4.437962934,1.71e-07,-1.71e-07,171.0091259,2.88e-05,-2.88e-05,2455004.009,2.88e-05,-2.88e-05,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,011/011804/011804465/dv/kplr011804465-20160209194854_dvr.pdf,286.24344,50.040379,13.438,13.782,13.374,13.29,13.274,12.406,12.107,12.066
22,10125352,K00021.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,1,0,q1_q17_dr25_sup_koi,4.288515468,1.074e-06,-1.074e-06,121.97268,0.000212,-0.000212,2454954.973,0.000212,-0.000212,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,010/010125/010125352/dv/kplr010125352-20160209194854_dvr.pdf,284.73859,47.169628,13.396,13.727,13.359,13.254,13.222,12.338,12.024,11.977
23,9631995,K00022.01,Kepler-422 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,7.891448838,5.06e-07,-5.06e-07,177.2499624,5.03e-05,-5.03e-05,2455010.25,5.03e-05,-5.03e-05,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,009/009631/009631995/dv/kplr009631995-20160209194854_dvr.pdf,282.62967,46.32336,13.435,13.832,13.376,13.265,13.235,12.357,12.126,12.041
24,9071386,K00023.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,4.693305543,3.84e-07,-3.84e-07,136.8627229,6.62e-05,-6.62e-05,2454969.863,6.62e-05,-6.62e-05,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,009/009071/009071386/dv/kplr009071386-20160209194854_dvr.pdf,283.16632,45.403061,12.291,12.556,12.231,12.178,12.191,11.336,11.151,11.068
25,4743513,K00024.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,1,1,q1_q17_dr25_sup_koi,2.086075752,1.392e-06,-1.392e-06,170.965627,0.000575,-0.000575,2455003.966,0.000575,-0.000575,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,004/004743/004743513/dv/kplr004743513-20160209194854_dvr.pdf,290.8154,39.819469,12.963,13.339,12.933,12.802,12.762,11.94,11.623,11.595
26,10593759,K00025.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,3.132604547,1.481e-06,-1.481e-06,136.010454,0.000394,-0.000394,2454969.01,0.000394,-0.000394,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,010/010593/010593759/dv/kplr010593759-20160209194854_dvr.pdf,289.26166,47.815521,13.499,13.878,13.443,13.336,13.297,12.423,12.217,12.146
27,5021737,K00026.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,1,1,q1_q17_dr25_sup_koi,15.03946326,1.112e-05,-1.112e-05,144.137461,0.000606,-0.000606,2454977.137,0.000606,-0.000606,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005021/005021737/dv/kplr005021737-20160209194854_dvr.pdf,294.73282,40.150341,11.997,12.284,11.939,11.875,11.855,11.014,10.81,10.769
28,3832716,K00027.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,1,0,0,0,q1_q17_dr25_sup_koi,1.141877248,6.6e-08,-6.6e-08,170.3386848,4.62e-05,-4.62e-05,2455003.339,4.62e-05,-4.62e-05,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,003/003832/003832716/dv/kplr003832716-20160209194854_dvr.pdf,285.39404,38.904911,13.418,13.827,13.385,13.242,13.197,12.369,12.101,12.018
29,4247791,K00028.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,4.100870416,3.61e-07,-3.61e-07,168.1460533,7.02e-05,-7.02e-05,2455001.146,7.02e-05,-7.02e-05,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,004/004247/004247791/dv/kplr004247791-20160209194854_dvr.pdf,287.16486,39.376942,11.26,12.829,11.585,,,10.624,10.341,10.286
30,6956014,K00031.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,0.925589891,3.653e-06,-3.653e-06,169.69275,0.00319,-0.00319,2455002.693,0.00319,-0.00319,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,006/006956/006956014/dv/kplr006956014-20160209194854_dvr.pdf,294.0318,42.468845,10.795,13.26,11.348,,,8.932,8.134,7.938
31,5725087,K00033.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,0.366197145,1.025e-06,-1.025e-06,133.55969,0.00227,-0.00227,2454966.56,0.00227,-0.00227,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,005/005725/005725087/dv/kplr005725087-20160209194854_dvr.pdf,296.9679,40.926769,11.059,12.675,11.396,,,8.468,7.734,7.592
32,6521045,K00041.01,Kepler-100 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,12.81590421,1.945e-05,-1.945e-05,122.94682,0.00119,-0.00119,2454955.947,0.00119,-0.00119,q1_q17_dr25_sup_koi,3,q1_q17_dr25_tce,006/006521/006521045/dv/kplr006521045-20160209194854_dvr.pdf,291.38599,41.990269,11.197,11.585,11.125,11.03,10.992,10.081,9.804,9.768
33,6521045,K00041.02,Kepler-100 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,6.88707073,2.277e-05,-2.277e-05,133.17797,0.00268,-0.00268,2454966.178,0.00268,-0.00268,q1_q17_dr25_sup_koi,3,q1_q17_dr25_tce,006/006521/006521045/dv/kplr006521045-20160209194854_dvr.pdf,291.38599,41.990269,11.197,11.585,11.125,11.03,10.992,10.081,9.804,9.768
34,6521045,K00041.03,Kepler-100 d,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,35.3331932,0.0002248,-0.0002248,153.98249,0.00489,-0.00489,2454986.982,0.00489,-0.00489,q1_q17_dr25_sup_koi,3,q1_q17_dr25_tce,006/006521/006521045/dv/kplr006521045-20160209194854_dvr.pdf,291.38599,41.990269,11.197,11.585,11.125,11.03,10.992,10.081,9.804,9.768
35,8866102,K00042.01,Kepler-410 A b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,17.83367834,1.385e-05,-1.385e-05,181.233943,0.000603,-0.000603,2455014.234,0.000603,-0.000603,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,008/008866/008866102/dv/kplr008866102-20160209194854_dvr.pdf,283.1507,45.139832,9.364,9.669,9.329,9.234,9.299,8.417,8.191,8.14
36,9025922,K00043.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,1,1,q1_q17_dr25_sup_koi,11.32029599,1.718e-05,-1.718e-05,177.08388,0.00127,-0.00127,2455010.084,0.00127,-0.00127,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,009/009025/009025922/dv/kplr009025922-20160209194854_dvr.pdf,293.26605,45.350697,13.29,,13.29,,,14.617,15.479,14.226
37,8845026,K00044.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,66.46746217,3.003e-05,-3.003e-05,160.47651,0.000358,-0.000358,2454993.477,0.000358,-0.000358,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,008/008845/008845026/dv/kplr008845026-20160209194854_dvr.pdf,300.15186,45.089611,13.483,13.985,13.436,13.268,,12.067,11.788,11.664
38,3742855,K00045.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,6.397185875,2.79e-06,-2.79e-06,174.365353,0.000325,-0.000325,2455007.365,0.000325,-0.000325,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,003/003742/003742855/dv/kplr003742855-20160209194854_dvr.pdf,290.26614,38.837917,13.133,13.14,13.06,13.13,,14.735,15.835,14.071
39,10905239,K00046.01,Kepler-101 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,3.487688776,1.105e-06,-1.105e-06,170.932217,0.000253,-0.000253,2455003.932,0.000253,-0.000253,q1_q17_dr25_sup_koi,2,q1_q17_dr25_tce,010/010905/010905239/dv/kplr010905239-20160209194854_dvr.pdf,283.25549,48.355232,13.77,14.406,13.72,13.497,,12.403,12.112,12.011
40,10905239,K00046.02,Kepler-101 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,6.02977241,6.264e-05,-6.264e-05,132.48162,0.00757,-0.00757,2454965.482,0.00757,-0.00757,q1_q17_dr25_sup_koi,2,q1_q17_dr25_tce,010/010905/010905239/dv/kplr010905239-20160209194854_dvr.pdf,283.25549,48.355232,13.77,14.406,13.72,13.497,,12.403,12.112,12.011
41,7837302,K00048.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,23.836808884,1.507e-06,-1.507e-06,173.7759431,4.98e-05,-4.98e-05,2455006.776,4.98e-05,-4.98e-05,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,007/007837/007837302/dv/kplr007837302-20160209194854_dvr.pdf,296.55386,43.543179,13.722,14.227,13.67,13.505,,12.451,12.15,12.088
42,9527334,K00049.01,Kepler-461 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,8.31377304,4.206e-05,-4.206e-05,175.99137,0.00402,-0.00402,2455008.991,0.00402,-0.00402,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,009/009527/009527334/dv/kplr009527334-20160209194854_dvr.pdf,292.24902,46.164822,13.704,14.162,13.651,13.508,,12.253,11.969,11.917
43,6056992,K00051.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,1,0,q1_q17_dr25_sup_koi,10.431146765,3.267e-06,-3.267e-06,133.936337,0.000264,-0.000264,2454966.936,0.000264,-0.000264,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,006/006056/006056992/dv/kplr006056992-20160209194854_dvr.pdf,295.91885,41.332432,13.761,17.406,13.356,14.09,,15.681,15.241,14.315
44,3558981,K00052.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,0,0,q1_q17_dr25_sup_koi,2.98786272,2.306e-06,-2.306e-06,168.011233,0.000618,-0.000618,2455001.011,0.000618,-0.000618,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,003/003558/003558981/dv/kplr003558981-20160209194854_dvr.pdf,294.97745,38.678352,13.109,13.715,13.062,12.848,,12.44,11.974,11.915
45,2445975,K00053.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,1,1,0,q1_q17_dr25_sup_koi,3.388887193,1.681e-06,-1.681e-06,172.259054,0.000392,-0.000392,2455005.259,0.000392,-0.000392,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,002/002445/002445975/dv/kplr002445975-20160209194854_dvr.pdf,292.03091,37.773529,13.513,14.404,13.479,13.13,,13.23,12.83,13.388
46,8248939,K00061.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,0,1,0,q1_q17_dr25_sup_koi,1.63345402,2.882e-05,-2.882e-05,181.8556,0.0132,-0.0132,2455014.856,0.0132,-0.0132,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,008/008248/008248939/dv/kplr008248939-20160209194854_dvr.pdf,296.93594,44.161045,12.179,12.74,12.125,11.939,,11.215,10.965,10.908
47,11554435,K00063.01,Kepler-63 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,9.43414171,2.136e-05,-2.136e-05,177.84346,0.00177,-0.00177,2455010.843,0.00177,-0.00177,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,011/011554/011554435/dv/kplr011554435-20160209194854_dvr.pdf,289.22617,49.548199,11.582,12.055,11.516,11.379,11.357,10.399,10.096,9.997
48,7051180,K00064.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,1.951082219,3.888e-06,-3.888e-06,157.54316,0.00159,-0.00159,2454990.543,0.00159,-0.00159,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,007/007051/007051180/dv/kplr007051180-20160209194854_dvr.pdf,296.51059,42.54744,13.143,13.791,13.099,12.866,12.738,11.759,11.324,11.23
49,10223615,K00065.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0,0,0,0,q1_q17_dr25_sup_koi,27.25471993,,,176.52949,,,2455009.529,,,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,,297.39066,47.223869,11.679,12.14,11.609,11.482,11.418,10.557,10.248,10.163
50,10620329,K00066.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,1,0,0,0,q1_q17_dr25_sup_koi,0.436282594,8.8e-08,-8.8e-08,170.702041,0.000156,-0.000156,2455003.702,0.000156,-0.000156,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,010/010620/010620329/dv/kplr010620329-20160209194854_dvr.pdf,298.70923,47.840019,11.002,10.995,11.004,11.096,11.118,10.464,10.361,10.334
51,8669092,K00068.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,1,0,0,0,q1_q17_dr25_sup_koi,1.000840564,6.44e-07,-6.44e-07,121.293771,0.000561,-0.000561,2454954.294,0.000561,-0.000561,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,008/008669/008669092/dv/kplr008669092-20160209194854_dvr.pdf,281.89307,44.827461,12.733,13.067,12.709,12.591,12.565,11.741,11.441,11.402
52,3544595,K00069.01,Kepler-93 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,4.72674037,1.57e-06,-1.57e-06,134.926396,0.000271,-0.000271,2454967.926,0.000271,-0.000271,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,003/003544/003544595/dv/kplr003544595-20160209194854_dvr.pdf,291.4183,38.672359,9.931,10.38,9.862,9.739,9.705,8.771,8.446,8.37
53,6850504,K00070.01,Kepler-20 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,10.854095934,4.977e-06,-4.977e-06,138.608031,0.000378,-0.000378,2454971.608,0.000378,-0.000378,q1_q17_dr25_sup_koi,5,q1_q17_dr25_tce,006/006850/006850504/dv/kplr006850504-20160209194854_dvr.pdf,287.698,42.338718,12.498,12.997,12.423,12.284,12.209,11.252,10.91,10.871
54,6850504,K00070.02,Kepler-20 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,3.696121272,2.394e-06,-2.394e-06,134.5014,0.00054,-0.00054,2454967.501,0.00054,-0.00054,q1_q17_dr25_sup_koi,5,q1_q17_dr25_tce,006/006850/006850504/dv/kplr006850504-20160209194854_dvr.pdf,287.698,42.338718,12.498,12.997,12.423,12.284,12.209,11.252,10.91,10.871
55,6850504,K00070.03,Kepler-20 d,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,77.6114427,0.0001536,-0.0001536,164.7292,0.00168,-0.00168,2454997.729,0.00168,-0.00168,q1_q17_dr25_sup_koi,5,q1_q17_dr25_tce,006/006850/006850504/dv/kplr006850504-20160209194854_dvr.pdf,287.698,42.338718,12.498,12.997,12.423,12.284,12.209,11.252,10.91,10.871
56,6850504,K00070.04,Kepler-20 e,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,6.09855603,2.536e-05,-2.536e-05,135.92906,0.00377,-0.00377,2454968.929,0.00377,-0.00377,q1_q17_dr25_sup_koi,5,q1_q17_dr25_tce,006/006850/006850504/dv/kplr006850504-20160209194854_dvr.pdf,287.698,42.338718,12.498,12.997,12.423,12.284,12.209,11.252,10.91,10.871
57,6850504,K00070.05,Kepler-20 f,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,19.5776073,0.0001427,-0.0001427,135.2032,0.00597,-0.00597,2454968.203,0.00597,-0.00597,q1_q17_dr25_sup_koi,5,q1_q17_dr25_tce,006/006850/006850504/dv/kplr006850504-20160209194854_dvr.pdf,287.698,42.338718,12.498,12.997,12.423,12.284,12.209,11.252,10.91,10.871
58,11904151,K00072.01,Kepler-10 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,0.837491225,3.03e-07,-3.03e-07,131.574858,0.000282,-0.000282,2454964.575,0.000282,-0.000282,q1_q17_dr25_sup_koi,2,q1_q17_dr25_tce,011/011904/011904151/dv/kplr011904151-20160209194854_dvr.pdf,285.67938,50.241299,10.961,11.388,10.92,10.778,10.729,9.889,9.563,9.496
59,11904151,K00072.02,Kepler-10 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0,0,0,0,q1_q17_dr25_sup_koi,45.29422297,5.6e-05,-5.6e-05,138.678725,0.000987,-0.000987,2454971.679,0.000987,-0.000987,q1_q17_dr25_sup_koi,2,q1_q17_dr25_tce,011/011904/011904151/dv/kplr011904151-20160209194854_dvr.pdf,285.67938,50.241299,10.961,11.388,10.92,10.778,10.729,9.889,9.563,9.496
60,6889235,K00074.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,1,0,0,0,q1_q17_dr25_sup_koi,5.188671659,2.188e-06,-2.188e-06,125.879388,0.000353,-0.000353,2454958.879,0.000353,-0.000353,q1_q17_dr25_sup_koi,1,q1_q17_dr25_tce,006/006889/006889235/dv/kplr006889235-20160209194854_dvr.pdf,298.32425,42.38847,10.96,10.855,10.995,11.172,11.275,10.679,10.722,10.699
